dataset,method,cost,elapsedtime,error
att48,optimal,10628.0,0,0
att48,firstMPF,12012.0,15,1384.0
att48,firstMPFindiv,12861.0,1,2233.0
att48,secondMPF,13447.0,2,2819.0
bayg29,optimal,1610.0,0,0
bayg29,firstMPF,1935.0,2,325.0
bayg29,firstMPFindiv,2005.0,0,395.0
bayg29,secondMPF,1938.0,1,328.0
bays29,optimal,2020.0,0,0
bays29,firstMPF,2134.0,1,114.0
bays29,firstMPFindiv,2258.0,0,238.0
bays29,secondMPF,2307.0,1,287.0
berlin52,optimal,7544.365901904087,0,0
berlin52,firstMPF,8182.1915557256725,6,637.8256538215855
berlin52,firstMPFindiv,8980.91827932919,0,1436.5523774251023
berlin52,secondMPF,9158.557391425307,1,1614.1914895212203
ch130,optimal,6110.86094968039,0,0
ch130,firstMPF,7198.741111888065,88,1087.8801622076744
ch130,firstMPFindiv,7575.286291798959,3,1464.4253421185686
ch130,secondMPF,7339.513147883738,10,1228.6521982033482
eil101,optimal,642.3095357906022,0,0
eil101,firstMPF,736.3684390983171,13,94.0589033077149
eil101,firstMPFindiv,825.2423227277447,0,182.9327869371425
eil101,secondMPF,769.5904158703593,3,127.28088007975703
fri26,optimal,937.0,0,0
fri26,firstMPF,965.0,0,28.0
fri26,firstMPFindiv,1112.0,0,175.0
fri26,secondMPF,980.0,0,43.0
gr120,optimal,6942.0,0,0
gr120,firstMPF,8438.0,18,1496.0
gr120,firstMPFindiv,9351.0,1,2409.0
gr120,secondMPF,8791.0,2,1849.0
gr96,optimal,55209.0,0,0
gr96,firstMPF,63945.0,8,8736.0
gr96,firstMPFindiv,70831.0,0,15622.0
gr96,secondMPF,71248.0,1,16039.0
lin105,optimal,14382.99593345118,0,0
lin105,firstMPF,16939.441490457702,13,2556.445557006522
lin105,firstMPFindiv,20362.75741726528,1,5979.761483814098
lin105,secondMPF,20362.75741726528,1,5979.761483814098
st70,optimal,678.5974520966245,0,0
st70,firstMPF,761.6890898866324,4,83.0916377900079
st70,firstMPFindiv,805.5312008437772,0,126.93374874715278
st70,secondMPF,806.9647581076138,1,128.3673060109893
